dateAdded,dateUpdated,url,name,description,documentation,license,maintainer,areaServed,startDate,endDate,provider
2020-01-08,2020-08-24,https://api.notifications.service.gov.uk/,GOV.UK Notify,"GOV.UK Notify allows government departments to send emails, text messages and letters to their users.\n\nThe API contains:\n\n- the public-facing REST API for GOV.UK Notify, which teams can integrate with using our clients\n- an internal-only REST API built using Flask to manage services, users, templates, etc (this is what the admin app talks to)\n- asynchronous workers built using Celery to put things on queues and read them off to be processed, sent to providers, updated, etc.",https://www.notifications.service.gov.uk/documentation,,,,,,government-digital-service
2020-01-08,2020-08-24,https://www.gov.uk/bank-holidays.json,Bank Holidays,"The Bank Holidays API provides access to data about when bank holidays are in England and Wales, Scotland and Northern Ireland.",https://github.com/alphagov/calendars/blob/master/README.md,,,,,,government-digital-service
2020-01-08,2020-08-24,https://publicapi.payments.service.gov.uk/,GOV.UK Pay,"Anyone in the public sector can use GOV.UK Pay to take online payments. It only takes minutes to get set up with GOV.UK Pay. Then you can:\n\n- take payments using debit cards, credit cards or digital wallets\n- give full or partial refunds\n- switch Payment Service Providers, for free, when you choose\n- use custom branding on your payment pages.\n\nGOV.UK Pay is ideal if you currently take payments using paper forms, by email or if you have an online service.",https://docs.payments.service.gov.uk/api_reference/#api-reference,,,,,,government-digital-service
2020-01-08,2020-08-24,https://api.london.cloud.service.gov.uk/v2,GOV.UK PaaS v2,"[GOV.UK PaaS](https://www.cloud.service.gov.uk/) allows government departments to host web facing services in the AWS cloud in Dublin and London regions. [GOV.UK PaaS](https://www.cloud.service.gov.uk/) is built on the Open Source [Cloud Foundry](https://www.cloudfoundry.org/) platform. There are two major versions of the API, v2 and v3. The API provides a comprehensive set of resources to manage the state of your Cloud Foundry Organisation, Spaces, Services and Applications.\n\nYou can read the [GOV.UK PaaS technical documentation for users](https://docs.cloud.service.gov.uk/).\n\nThe  API  handles all requests from the [Cloud Foundry Command Line Interface (CLI)](https://docs.cloudfoundry.org/cf-cli/) which is the primary user interface for users of the platform.",https://apidocs.cloudfoundry.org/12.0.0/,,,,,,government-digital-service
2020-01-08,2020-08-24,https://api.london.cloud.service.gov.uk/v3,GOV.UK PaaS v3,"[GOV.UK PaaS](https://www.cloud.service.gov.uk/) allows government departments to host web facing services in the AWS cloud in Dublin and London regions. [GOV.UK PaaS](https://www.cloud.service.gov.uk/) is built on the Open Source [Cloud Foundry](https://www.cloudfoundry.org/) platform. There are two major versions of the API, v2 and v3. The API provides a comprehensive set of resources to manage the state of your Cloud Foundry Organisation, Spaces, Services and Applications.\n\nYou can read the [GOV.UK PaaS technical documentation for users](https://docs.cloud.service.gov.uk/).\n\nThe  API  handles all requests from the [Cloud Foundry Command Line Interface (CLI)](https://docs.cloudfoundry.org/cf-cli/) which is the primary user interface for users of the platform.",http://v3-apidocs.cloudfoundry.org/version/3.74.0/,,,,,,government-digital-service
2020-01-08,2020-08-24,https://www.gov.uk/api/content,GOV.UK Content,GOV.UK Content API makes it easy to access the data used to render content on https://www.gov.uk. For any page hosted on GOV.UK you can use the path to access the content and associated metadata for a page.,https://content-api.publishing.service.gov.uk/,,,,,,government-digital-service
2020-01-08,2020-08-24,https://www.gov.uk/api/search.json,GOV.UK Search,GOV.UK Search API allows you to find content on GOV.UK. It's the same API that powers [GOV.UK search] (https://gov.uk/search/all) and all the other dynamic content pages on GOV.UK.,https://docs.publishing.service.gov.uk/apis/search/search-api.html,,,,,,government-digital-service
2020-01-08,2020-08-24,https://www.gov.uk/api/organisations,GOV.UK Organisations,The organisations API provides information about government organisations.,https://docs.publishing.service.gov.uk/repos/collections/api.html,,,,,,government-digital-service
2020-01-08,2020-08-24,https://data.gov.uk/api/action/,Data.gov.uk,"This API allows you to access the data.gov.uk dataset metadata in a machine-readable way, as JSON. A dataset's metadata includes details such as title, description, usage licence, and a list of 'resources', which describe each data file that makes up the dataset. Each resource contains a format, description and URL (for example for download).",https://guidance.data.gov.uk/get_data/api_documentation/,,,,,,government-digital-service
2020-01-08,2020-08-24,https://api.beta.ons.gov.uk/v1,Statistics,"The Office for National Statistics API makes datasets and other data available programmatically using HTTP. It allows you to filter datasets and directly access specific data points. The API is open and unrestricted - no API keys are required, so you can start using it immediately. This API is currently in Beta and still being developed. Please be aware that as a result of this there may occasionally be breaking changes as we enhance functionality and respond to feedback.",https://developer.beta.ons.gov.uk/,,,,,,office-of-national-statistics
