08.01.2020,Date Updated,Name,Creator,Provider,Keywords,Description,Area,Version,Valid From,Ending on,Superseded by,Permissions,License,Conforms To,Base URL,Docs URL,OAS URL
08.01.2020,24.08.20,GOV.UK Notify,,GDS,,"GOV.UK Notify allows government departments to send emails, text messages and letters to their users. The API contains:

- the public-facing REST API for GOV.UK Notify, which teams can integrate with using our clients
- an internal-only REST API built using Flask to manage services, users, templates, etc (this is what the admin app talks to)
- asynchronous workers built using Celery to put things on queues and read them off to be processed, sent to providers, updated, etc",,,,,,,,,https://api.notifications.service.gov.uk/,,
08.01.2020,24.08.20,Bank Holidays,,GDS,,"The Bank Holidays API provides access to data about when bank holidays are in England and Wales, Scotland and Northern Ireland.",,,,,,,,,https://www.gov.uk/bank-holidays.json,https://github.com/alphagov/calendars/blob/master/README.md,
08.01.2020,24.08.20,GOV.UK Pay,,GDS,,"Anyone in the public sector can use GOV.UK Pay to take online payments.

It only takes minutes to get set up with GOV.UK Pay.

Then you can:

    take payments using debit cards, credit cards or digital wallets
    give full or partial refunds
    switch Payment Service Providers, for free, when you choose
    use custom branding on your payment pages

GOV.UK Pay is ideal if you currently take payments using paper forms, by email or if you have an online service.",,,,,,,,,https://publicapi.payments.service.gov.uk/,https://docs.payments.service.gov.uk/api_reference/#api-reference,
08.01.2020,24.08.20,GOV.UK PaaS,,GDS,,"[GOV.UK PaaS](https://www.cloud.service.gov.uk/) allows government departments to host web facing services in the AWS cloud in Dublin and London regions.

[GOV.UK PaaS](https://www.cloud.service.gov.uk/) is built on the Open Source [Cloud Foundry](https://www.cloudfoundry.org/) platform.

There are two major versions of the API, v2 and v3.

The API provides a comprehensive set of resources to manage the state of your Cloud Foundry Organisation, Spaces, Services and Applications.

[GOV.UK PaaS Technical Documentation for Users](https://docs.cloud.service.gov.uk/)

The  API  handles all requests from the [Cloud Foundry Command Line Interface (CLI)](https://docs.cloudfoundry.org/cf-cli/) which is the primary user interface for users of the platform.",,2,,,,,,,https://api.london.cloud.service.gov.uk/v2,https://apidocs.cloudfoundry.org/12.0.0/,
08.01.2020,24.08.20,GOV.UK PaaS,,GDS,,"[GOV.UK PaaS](https://www.cloud.service.gov.uk/) allows government departments to host web facing services in the AWS cloud in Dublin and London regions.

[GOV.UK PaaS](https://www.cloud.service.gov.uk/) is built on the Open Source [Cloud Foundry](https://www.cloudfoundry.org/) platform.

There are two major versions of the API, v2 and v3.

The API provides a comprehensive set of resources to manage the state of your Cloud Foundry Organisation, Spaces, Services and Applications.

[GOV.UK PaaS Technical Documentation for Users](https://docs.cloud.service.gov.uk/)

The  API  handles all requests from the [Cloud Foundry Command Line Interface (CLI)](https://docs.cloudfoundry.org/cf-cli/) which is the primary user interface for users of the platform.",,3,,,,,,,https://api.london.cloud.service.gov.uk/v3,http://v3-apidocs.cloudfoundry.org/version/3.74.0/,
08.01.2020,24.08.20,GOV.UK Content,,GDS,,GOV.UK Content API makes it easy to access the data used to render content on https://www.gov.uk. For any page hosted on GOV.UK you can use the path to access the content and associated metadata for a page.,,,,,,,,,https://www.gov.uk/api/content,,https://content-api.publishing.service.gov.uk
08.01.2020,24.08.20,GOV.UK Search,,GDS,,GOV.UK Search API allows you to find content on GOV.UK. It’s the same API that powers https://gov.uk/search/all and the other dynamic content pages on GOV.UK,,,,,,,,,https://www.gov.uk/api/search.json,https://docs.publishing.service.gov.uk/apis/search/search-api.html,
08.01.2020,24.08.20,GOV.UK Organisations,,GDS,,The organisations API provides information about government organisations.,,,,,,,,,https://www.gov.uk/api/organisations,https://docs.publishing.service.gov.uk/apis/whitehall/api.html,
08.01.2020,24.08.20,GOV.UK Governments,,GDS,,The governments API lists information about governments back to 1801.,,,,,,,,,https://www.gov.uk/api/governments,https://docs.publishing.service.gov.uk/apis/whitehall/api.html,
08.01.2020,24.08.20,Document Checking Service pilot,,GDS,,The Document Checking Service (DCS) pilot is for non-public sector organisations that want to find out if British passports are valid. The DCS acts as an interface between a service and HM Passport Office. Your service sends a passport check request to the DCS. The DCS validates the request and sends it to HM Passport Office. HM Passport Office checks the passport data against their database and sends a response back to the DCS. The DCS sends the response to your service as outlined in check if a passport is valid.,,,,,,,,,https://<DCS-PRODUCTION-URI>/checks/passport,https://dcs-pilot-docs.cloudapps.digital/#the-document-checking-service-pilot,
08.01.2020,24.08.20,GOV.UK World locations,,GDS,,Lists world locations used on GOV.UK. This is not the same as the country register.,,,,,,,,,https://www.gov.uk/api/world-locations,https://docs.publishing.service.gov.uk/apis/whitehall/api.html,
08.01.2020,24.08.20,Data.gov.uk,,GDS,,"This API allows you to access the data.gov.uk dataset metadata in a machine-readable way, as JSON.

A dataset’s metadata includes details such as title, description, usage licence, and a list of ‘resources’, which describe each data file that makes up the dataset. Each resource contains a format, description and URL (e.g. for download).",,,,,,,,,https://data.gov.uk/api/action/,https://guidance.data.gov.uk/get_data/api_documentation/,
08.01.2020,24.08.20,ONS: Statistics,,ONS,,"The Office for National Statistics API makes datasets and other data available programmatically using HTTP. It allows you to filter datasets and directly access specific data points.

The API is open and unrestricted - no API keys are required, so you can start using it immediately.

This API is currently in Beta and still being developed. Please be aware that as a result of this there may occasionally be breaking changes as we enhance functionality and respond to feedback.",,,,,,,,,https://api.beta.ons.gov.uk/v1,https://developer.beta.ons.gov.uk/,
08.01.2020,24.08.20,ONS: Open Geography portal,,ONS,,"The Open Geography portal from the Office for National Statistics (ONS) provides free and open access to the definitive source of geographic products, web applications, story maps, services and APIs. All content is available under the Open Government Licence v3.0, except where otherwise stated.",,,,,,,,,https://ons-inspire.esriuk.com/arcgis/rest/services/,https://developers.arcgis.com/rest/services-reference/get-started-with-the-services-directory.htm,
08.01.2020,24.08.20,DVLA Vehicle Enquiry Service,,DVLA,,The DVLA Vehicle Enquiry Service API provides vehicle details of a specified vehicle. It uses the vehicle registration number as input to search and provide details of the vehicle.,,,,,,,,,https://driver-vehicle-licensing.api.gov.uk/vehicle-enquiry,https://developer-portal.driver-vehicle-licensing.api.gov.uk/vehicle-enquiry-service-description.html,
08.01.2020,24.08.20,DVLA Authentication,,DVLA,,"The DVLA Authentication API provides authentication, change/new password and change API Key services for users of DVLA secure APIs.",,,,,,,,,https://driver-vehicle-licensing.api.gov.uk/thirdparty-access,https://developer-portal.driver-vehicle-licensing.api.gov.uk/authentication-api-description.html,
08.01.2020,24.08.20,Companies House,,Companies House,,"The Companies House API provides access to all of the public data we hold on companies free of charge. This includes information about companies, officers, people of significant control and more.",,,,,,,,,https://api.companieshouse.gov.uk/,https://developer.companieshouse.gov.uk/api/docs/,
08.01.2020,24.08.20,Companies House Streaming,,Companies House,,"The Companies House streaming API gives you access to realtime data changes of the information held at Companies House. This delivers the same information that is available through the on-demand REST API GET requests, but instead pushes data to your client as it changes, through a long-running connection that you first establish.

Streams include:

    company information
    filing history
    insolvency cases
    charges",,,,,,,,,https://stream.companieshouse.gov.uk/,https://developer-specs.companieshouse.gov.uk/streaming-api/guides/overview,
24.08.20,,OS Maps API,Ordnance Survey - michael.gordon@os.uk,Ordnance Survey,"maps api, static maps, embed web map, gis data, open data, geospatial data","Add Ordnance Survey’s detailed maps to your GIS, web or mobile applications with ease and make location-based decisions with confidence. Available in four styles, two projections and two access methods, OS Maps API gives unrivalled geographic context to your data.

You can access these maps via OGC standard WMTS or RESTful ZXY.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"OGC WMTS, RESTful ZXY, png","https://api.os.uk/maps/raster/v1/wmts, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/wmts/overview,
24.08.20,,OS Vector Tile API,Ordnance Survey - michael.gordon@os.uk,Ordnance Survey,"vector api, map tile api, vector tiles, gis data, open data","Slick, quick vector maps.

Integrate Ordnance Survey’s up-to-date, detailed maps in your applications, enabling you to make location-based decisions with confidence. You can customise the content and style to make your perfect map.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, pbf","https://api.os.uk/maps/vector/v1/vts, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/vts/overview,
24.08.20,,OS Names API,Ordnance Survey - michael.gordon@os.uk,Ordnance Survey,"search, geocoding api, geospatial data, place names, postcodes, roads, open data","A free, searchable, reliable database to help you find and verify populated places, road names, road numbers and postcodes.

OS Names API is a reliable way of supporting the discovery or identification and visualisation of a named place; geocoding; routing and navigation, and linking diverse information such as statistics or descriptions. OS Names can locate a feature using just its name, or it can find the closest location to a given point.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, JSON","https://api.os.uk/search/names/v1, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/names/overview,
24.08.20,,OS Features API,Ordnance Survey - michael.gordon@os.uk,Ordnance Survey,"gis data, geospatial data, geospatial open data, api, ","Buildings, roads, greenspaces and much more.

Get direct access to the most detailed geographic data for your analysis, taking full advantage of rich geometries and attributes to generate new insight. No need to download, store and manage large and complex datasets, we take care of that so you can focus on adding value.",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"OGC WFS, GML, GeoJSON","https://api.os.uk/features/v1/wfs, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/wfs/overview,
24.08.20,,OS Linked Identifiers API,Ordnance Survey - michael.gordon@os.uk,Ordnance Survey,"identifiers, gis data, open data, geospatial data","The OS Linked Identifiers API allows users to access the valuable relationships between properties, streets and OS MasterMap identifiers for free.

An identifier is a unique reference assigned to a specific thing, so when you are talking to someone else you can use it to ensure you’re talking about the same thing. They are used all the time, such as telephone numbers, postcodes and customer reference numbers. OS is striving to make its identifiers more accessible and useful for its customers.

The OS Linked Identifiers API takes this further by enabling the linking together of datasets that are using different identifiers; for example, linking a property address (UPRN - Unique Property Reference Number) to the street that it is on (USRN - Unique Street Reference Number).",Great Britain,v1,01/07/2020,,,,https://osdatahub.os.uk/legal/termsConditions,"RESTful, JSON","https://api.os.uk/search/links/v1, https://osdatahub.os.uk/plans",https://osdatahub.os.uk/docs/linkedIdentifiers/overview,
